sepal_length,sepal_width,petal_length,petal_width,.gmlFile,NetworkType,SubType
5.1,3.5,1.4,0.2,0.24417933,biological,setosa
4.9,3,1.4,0.2,0.899413647,biological,setosa
4.7,3.2,1.3,0.2,0.195427849,biological,setosa
4.6,3.1,1.5,0.2,0.519852712,biological,setosa
5,3.6,1.4,0.2,0.483920852,biological,setosa
5.4,3.9,1.7,0.4,0.026384948,biological,setosa
4.6,3.4,1.4,0.3,0.562954422,biological,setosa
5,3.4,1.5,0.2,0.731722975,biological,setosa
4.4,2.9,1.4,0.2,0.598691445,biological,setosa
4.9,3.1,1.5,0.1,0.067432189,biological,setosa
5.4,3.7,1.5,0.2,0.390420342,biological,setosa
4.8,3.4,1.6,0.2,0.404932215,biological,setosa
4.8,3,1.4,0.1,0.892714135,biological,setosa
4.3,3,1.1,0.1,0.720022044,biological,setosa
5.8,4,1.2,0.2,0.058040465,biological,setosa
5.7,4.4,1.5,0.4,0.227774293,biological,setosa
5.4,3.9,1.3,0.4,0.362053139,biological,setosa
5.1,3.5,1.4,0.3,0.445023611,biological,setosa
5.7,3.8,1.7,0.3,0.522077791,biological,setosa
5.1,3.8,1.5,0.3,0.011249171,biological,setosa
5.4,3.4,1.7,0.2,0.94404064,biological,setosa
5.1,3.7,1.5,0.4,0.305846393,biological,setosa
4.6,3.6,1,0.2,0.447921568,biological,setosa
5.1,3.3,1.7,0.5,0.81265498,biological,setosa
4.8,3.4,1.9,0.2,0.974509043,biological,setosa
5,3,1.6,0.2,0.128871559,biological,setosa
5,3.4,1.6,0.4,0.299337601,biological,setosa
5.2,3.5,1.5,0.2,0.755566064,biological,setosa
5.2,3.4,1.4,0.2,0.781793625,biological,setosa
4.7,3.2,1.6,0.2,0.316050858,biological,setosa
4.8,3.1,1.6,0.2,0.946640121,biological,setosa
5.4,3.4,1.5,0.4,0.892165571,biological,setosa
5.2,4.1,1.5,0.1,0.554109264,biological,setosa
5.5,4.2,1.4,0.2,0.416237697,biological,setosa
4.9,3.1,1.5,0.1,0.658857118,biological,setosa
5,3.2,1.2,0.2,0.765969452,biological,setosa
5.5,3.5,1.3,0.2,0.976665181,biological,setosa
4.9,3.1,1.5,0.1,0.660030207,biological,setosa
4.4,3,1.3,0.2,0.618338294,biological,setosa
5.1,3.4,1.5,0.2,0.871289226,biological,setosa
5,3.5,1.3,0.3,0.79518555,biological,setosa
4.5,2.3,1.3,0.3,0.942379853,biological,setosa
4.4,3.2,1.3,0.2,0.580794355,biological,setosa
5,3.5,1.6,0.6,0.113824972,biological,setosa
5.1,3.8,1.9,0.4,0.242733041,biological,setosa
4.8,3,1.4,0.3,0.885759967,biological,setosa
5.1,3.8,1.6,0.2,0.033190015,biological,setosa
4.6,3.2,1.4,0.2,0.848266514,biological,setosa
5.3,3.7,1.5,0.2,0.734411571,biological,setosa
5,3.3,1.4,0.2,0.455992956,biological,setosa
